Init; 30604.733614 ms
Iter 0; 330.883043 ms
Iter 1; 116.10169 ms
Iter 2; 287.375724 ms
Iter 3; 103.122687 ms
Iter 4; 162.00799 ms
Iter 5; 139.857828 ms
Iter 6; 77.328469 ms
Iter 7; 77.028821 ms
Iter 8; 76.982367 ms
Iter 9; 74.254089 ms
Iter 10; 84.381661 ms
Iter 11; 85.508056 ms
Iter 12; 96.423805 ms
Iter 13; 109.293629 ms
Iter 14; 76.708115 ms
Iter 15; 87.39119 ms
Iter 16; 78.082963 ms
Iter 17; 80.194637 ms
Iter 18; 88.212341 ms
Iter 19; 82.705099 ms
Iter 20; 100.410282 ms
Iter 21; 89.296961 ms
Iter 22; 90.182465 ms
Iter 23; 93.088347 ms
Iter 24; 83.97529 ms
Iter 25; 76.649662 ms
Iter 26; 78.700608 ms
Iter 27; 72.956286 ms
Iter 28; 77.478349 ms
Iter 29; 113.413497 ms
Init; 28548.289602 ms
Iter 0; 561.891098 ms
Iter 1; 131.068853 ms
Iter 2; 106.3737 ms
Iter 3; 112.035569 ms
Iter 4; 179.564773 ms
Iter 5; 105.268666 ms
Iter 6; 79.995804 ms
Iter 7; 83.750566 ms
Iter 8; 79.028107 ms
Iter 9; 146.319261 ms
Iter 10; 82.267629 ms
Iter 11; 2209.319219 ms
Iter 12; 93.464961 ms
Iter 13; 76.806821 ms
Iter 14; 66.995479 ms
Iter 15; 89.904879 ms
Iter 16; 78.002454 ms
Iter 17; 90.290643 ms
Iter 18; 93.751771 ms
Iter 19; 79.781355 ms
Iter 20; 101.225746 ms
Iter 21; 102.770252 ms
Iter 22; 86.429572 ms
Iter 23; 76.799329 ms
Iter 24; 78.135097 ms
Iter 25; 83.746388 ms
Iter 26; 74.060283 ms
Iter 27; 77.880553 ms
Iter 28; 73.219229 ms
Iter 29; 72.806229 ms
Init; 28757.741621 ms
Iter 0; 561.488605 ms
Iter 1; 135.830132 ms
Iter 2; 118.600329 ms
Iter 3; 100.004765 ms
Iter 4; 156.748694 ms
Iter 5; 92.251073 ms
Iter 6; 86.882702 ms
Iter 7; 92.400268 ms
Iter 8; 90.993468 ms
Iter 9; 86.637988 ms
Iter 10; 82.91884 ms
Iter 11; 88.325537 ms
Iter 12; 75.53026 ms
Iter 13; 83.698985 ms
Iter 14; 77.711445 ms
Iter 15; 87.493383 ms
Iter 16; 77.703372 ms
Iter 17; 83.368772 ms
Iter 18; 86.115485 ms
Iter 19; 84.383145 ms
Iter 20; 91.84459 ms
Iter 21; 100.365941 ms
Iter 22; 85.320222 ms
Iter 23; 85.949504 ms
Iter 24; 74.375746 ms
Iter 25; 74.887845 ms
Iter 26; 78.434304 ms
Iter 27; 73.913672 ms
Iter 28; 80.35674 ms
Iter 29; 84.814671 ms
Init; 30135.807638 ms
Iter 0; 333.915315 ms
Iter 1; 123.472246 ms
Iter 2; 115.428761 ms
Iter 3; 102.53768 ms
Iter 4; 182.187476 ms
Iter 5; 139.342547 ms
Iter 6; 88.924114 ms
Iter 7; 82.697173 ms
Iter 8; 93.897098 ms
Iter 9; 89.123403 ms
Iter 10; 89.41157 ms
Iter 11; 84.092084 ms
Iter 12; 85.207226 ms
Iter 13; 85.045217 ms
Iter 14; 94.756912 ms
Iter 15; 89.493203 ms
Iter 16; 81.646732 ms
Iter 17; 75.299527 ms
Iter 18; 98.081888 ms
Iter 19; 97.815225 ms
Iter 20; 101.260757 ms
Iter 21; 95.673871 ms
Iter 22; 88.748554 ms
Iter 23; 94.755932 ms
Iter 24; 276.738863 ms
Iter 25; 75.963533 ms
Iter 26; 84.950354 ms
Iter 27; 83.213429 ms
Iter 28; 75.782367 ms
Iter 29; 83.273899 ms
Init; 30876.606546 ms
Iter 0; 491.855903 ms
Iter 1; 120.491886 ms
Iter 2; 120.767737 ms
Iter 3; 165.215168 ms
Iter 4; 267.419654 ms
Iter 5; 91.372533 ms
Iter 6; 95.383238 ms
Iter 7; 92.797154 ms
Iter 8; 90.313487 ms
Iter 9; 83.743774 ms
Iter 10; 85.196635 ms
Iter 11; 84.81035 ms
Iter 12; 81.004393 ms
Iter 13; 102.211666 ms
Iter 14; 89.676289 ms
Iter 15; 99.524311 ms
Iter 16; 81.147711 ms
Iter 17; 87.556939 ms
Iter 18; 103.928179 ms
Iter 19; 105.164866 ms
Iter 20; 98.417096 ms
Iter 21; 86.134634 ms
Iter 22; 87.276635 ms
Iter 23; 81.02758 ms
Iter 24; 72.286145 ms
Iter 25; 84.957033 ms
Iter 26; 76.705621 ms
Iter 27; 74.766543 ms
Iter 28; 78.898958 ms
Iter 29; 111.98359 ms
