Init; 4948.32534 ms
Iter 0; 1118.205335 ms
Iter 1; 924.183321 ms
Iter 2; 958.330844 ms
Iter 3; 653.501571 ms
Iter 4; 621.126424 ms
Iter 5; 789.743284 ms
Iter 6; 607.227705 ms
Iter 7; 629.129106 ms
Iter 8; 628.306525 ms
Iter 9; 12165.577213 ms
Iter 10; 631.004185 ms
Iter 11; 636.208603 ms
Iter 12; 650.756402 ms
Iter 13; 657.285566 ms
Iter 14; 672.613692 ms
Iter 15; 721.389276 ms
Iter 16; 792.929817 ms
Iter 17; 761.618396 ms
Iter 18; 722.85936 ms
Iter 19; 706.962836 ms
Iter 20; 710.819851 ms
Iter 21; 737.881804 ms
Iter 22; 782.791772 ms
Iter 23; 809.673499 ms
Iter 24; 783.901311 ms
Iter 25; 721.660642 ms
Iter 26; 718.012939 ms
Iter 27; 729.486769 ms
Iter 28; 734.715678 ms
Iter 29; 745.819521 ms
Init; 4991.573884 ms
Iter 0; 1195.41151 ms
Iter 1; 985.669227 ms
Iter 2; 683.831067 ms
Iter 3; 634.170589 ms
Iter 4; 644.403813 ms
Iter 5; 794.026432 ms
Iter 6; 604.674516 ms
Iter 7; 628.806873 ms
Iter 8; 609.78919 ms
Iter 9; 776.762185 ms
Iter 10; 11990.689329 ms
Iter 11; 636.038432 ms
Iter 12; 642.500853 ms
Iter 13; 652.71607 ms
Iter 14; 693.563308 ms
Iter 15; 704.693661 ms
Iter 16; 694.684955 ms
Iter 17; 699.906458 ms
Iter 18; 746.326945 ms
Iter 19; 719.620096 ms
Iter 20; 710.318224 ms
Iter 21; 749.048796 ms
Iter 22; 846.894638 ms
Iter 23; 735.414579 ms
Iter 24; 723.003427 ms
Iter 25; 719.95725 ms
Iter 26; 720.302104 ms
Iter 27; 739.312159 ms
Iter 28; 738.718567 ms
Iter 29; 805.944064 ms
Init; 4488.523942 ms
Iter 0; 1054.901394 ms
Iter 1; 647.323006 ms
Iter 2; 605.610205 ms
Iter 3; 632.342855 ms
Iter 4; 798.562099 ms
Iter 5; 617.064711 ms
Iter 6; 620.773241 ms
Iter 7; 640.090194 ms
Iter 8; 628.849473 ms
Iter 9; 786.678623 ms
Iter 10; 669.860219 ms
Iter 11; 641.263885 ms
Iter 12; 635.380977 ms
Iter 13; 630.567959 ms
Iter 14; 637.990759 ms
Iter 15; 683.899297 ms
Iter 16; 12034.913974 ms
Iter 17; 636.448147 ms
Iter 18; 657.149094 ms
Iter 19; 672.678089 ms
Iter 20; 684.041796 ms
Iter 21; 839.846881 ms
Iter 22; 742.923464 ms
Iter 23; 706.497581 ms
Iter 24; 707.733187 ms
Iter 25; 697.290014 ms
Iter 26; 704.829629 ms
Iter 27; 713.062321 ms
Iter 28; 722.834855 ms
Iter 29; 727.856314 ms
Init; 4909.136775 ms
Iter 0; 1314.325949 ms
Iter 1; 621.115089 ms
Iter 2; 643.381852 ms
Iter 3; 640.396487 ms
Iter 4; 601.118727 ms
Iter 5; 601.710435 ms
Iter 6; 750.858306 ms
Iter 7; 619.407267 ms
Iter 8; 611.64643 ms
Iter 9; 639.541204 ms
Iter 10; 658.818939 ms
Iter 11; 12076.086189 ms
Iter 12; 628.084263 ms
Iter 13; 640.893614 ms
Iter 14; 686.000778 ms
Iter 15; 699.614678 ms
Iter 16; 678.590325 ms
Iter 17; 683.812932 ms
Iter 18; 686.615595 ms
Iter 19; 690.584714 ms
Iter 20; 787.57494 ms
Iter 21; 801.03158 ms
Iter 22; 702.087777 ms
Iter 23; 717.68869 ms
Iter 24; 847.726211 ms
Iter 25; 759.990739 ms
Iter 26; 721.712458 ms
Iter 27; 726.905736 ms
Iter 28; 729.108468 ms
Iter 29; 726.177252 ms
Init; 4497.909031 ms
Iter 0; 1352.53506 ms
Iter 1; 793.067285 ms
Iter 2; 587.697776 ms
Iter 3; 594.500318 ms
Iter 4; 765.9994 ms
Iter 5; 579.46707 ms
Iter 6; 617.178668 ms
Iter 7; 685.81812 ms
Iter 8; 592.847766 ms
Iter 9; 620.478074 ms
Iter 10; 600.870742 ms
Iter 11; 628.103471 ms
Iter 12; 793.903894 ms
Iter 13; 11956.449114 ms
Iter 14; 622.104169 ms
Iter 15; 653.678132 ms
Iter 16; 636.424853 ms
Iter 17; 662.341915 ms
Iter 18; 671.744691 ms
Iter 19; 678.145031 ms
Iter 20; 694.074079 ms
Iter 21; 691.588711 ms
Iter 22; 671.756102 ms
Iter 23; 685.808411 ms
Iter 24; 728.455311 ms
Iter 25; 784.30329 ms
Iter 26; 738.494573 ms
Iter 27; 693.255846 ms
Iter 28; 708.708957 ms
Iter 29; 685.75899 ms
