Init; 4939.541802 ms
Iter 0; 15136.797126 ms
Iter 1; 4183.353805 ms
Iter 2; 3577.100912 ms
Iter 3; 3404.585961 ms
Iter 4; 3591.551324 ms
Iter 5; 3382.241942 ms
Iter 6; 3577.747546 ms
Iter 7; 3482.291039 ms
Iter 8; 3346.840926 ms
Iter 9; 3527.648777 ms
Iter 10; 3366.274758 ms
Iter 11; 3542.757919 ms
Iter 12; 3342.975325 ms
Iter 13; 3697.802632 ms
Iter 14; 3542.264608 ms
Iter 15; 3416.839917 ms
Iter 16; 3350.336885 ms
Iter 17; 3211.756527 ms
Iter 18; 3385.573124 ms
Iter 19; 3415.44231 ms
Iter 20; 3400.93935 ms
Iter 21; 3438.489546 ms
Iter 22; 3386.580199 ms
Iter 23; 3595.919588 ms
Iter 24; 3953.032793 ms
Iter 25; 3405.052323 ms
Iter 26; 3333.581551 ms
Iter 27; 3184.026809 ms
Iter 28; 3410.126503 ms
Iter 29; 3492.677477 ms
Init; 4603.792923 ms
Iter 0; 15664.586324 ms
Iter 1; 4251.817262 ms
Iter 2; 3967.570961 ms
Iter 3; 3724.128389 ms
Iter 4; 3738.439045 ms
Iter 5; 3660.492441 ms
Iter 6; 3770.07929 ms
Iter 7; 3409.460593 ms
Iter 8; 3288.309372 ms
Iter 9; 3432.30623 ms
Iter 10; 3415.134384 ms
Iter 11; 3677.871121 ms
Iter 12; 3578.044789 ms
Iter 13; 3605.173869 ms
Iter 14; 3510.219319 ms
Iter 15; 3365.096366 ms
Iter 16; 3521.195619 ms
Iter 17; 3296.169921 ms
Iter 18; 3309.807035 ms
Iter 19; 3472.859226 ms
Iter 20; 3475.218848 ms
Iter 21; 3582.953955 ms
Iter 22; 3693.906859 ms
Iter 23; 3599.965387 ms
Iter 24; 3718.873673 ms
Iter 25; 3455.905934 ms
Iter 26; 3361.563621 ms
Iter 27; 3676.663284 ms
Iter 28; 3591.967664 ms
Iter 29; 3627.194928 ms
Init; 4578.559843 ms
Iter 0; 15899.918423 ms
Iter 1; 4091.479568 ms
Iter 2; 3375.099399 ms
Iter 3; 3560.959625 ms
Iter 4; 3475.653148 ms
Iter 5; 3029.361833 ms
Iter 6; 3480.774005 ms
Iter 7; 3311.117325 ms
Iter 8; 3335.056227 ms
Iter 9; 3199.592913 ms
Iter 10; 3083.86899 ms
Iter 11; 3512.253532 ms
Iter 12; 3304.109877 ms
Iter 13; 3525.112085 ms
Iter 14; 3016.850376 ms
Iter 15; 3163.407274 ms
Iter 16; 3263.276793 ms
Iter 17; 3034.521533 ms
Iter 18; 3042.034105 ms
Iter 19; 3362.679761 ms
Iter 20; 3090.491495 ms
Iter 21; 3388.247833 ms
Iter 22; 3313.655541 ms
Iter 23; 3313.775234 ms
Iter 24; 3404.224533 ms
Iter 25; 3015.653847 ms
Iter 26; 3031.878979 ms
Iter 27; 3253.442138 ms
Iter 28; 3049.970995 ms
Iter 29; 3041.876268 ms
Init; 4516.660017 ms
Iter 0; 15337.77855 ms
Iter 1; 3876.056082 ms
Iter 2; 3715.789894 ms
Iter 3; 3588.778376 ms
Iter 4; 3582.099157 ms
Iter 5; 3384.536754 ms
Iter 6; 3516.442204 ms
Iter 7; 3382.339679 ms
Iter 8; 3502.658549 ms
Iter 9; 3540.080518 ms
Iter 10; 3369.462946 ms
Iter 11; 3720.294344 ms
Iter 12; 3374.056504 ms
Iter 13; 3446.292811 ms
Iter 14; 3251.667335 ms
Iter 15; 3141.787063 ms
Iter 16; 3520.62125 ms
Iter 17; 3394.833364 ms
Iter 18; 3416.802144 ms
Iter 19; 3409.355078 ms
Iter 20; 3097.659084 ms
Iter 21; 3122.817601 ms
Iter 22; 3286.699427 ms
Iter 23; 3176.552705 ms
Iter 24; 3421.374175 ms
Iter 25; 3414.556866 ms
Iter 26; 3441.398833 ms
Iter 27; 3615.573668 ms
Iter 28; 3172.890538 ms
Iter 29; 3137.489282 ms
Init; 5397.039037 ms
Iter 0; 15839.993661 ms
Iter 1; 4109.36335 ms
Iter 2; 3473.134706 ms
Iter 3; 3760.158804 ms
Iter 4; 3548.22272 ms
Iter 5; 3651.642789 ms
Iter 6; 3505.247628 ms
Iter 7; 3482.0614 ms
Iter 8; 3621.328655 ms
Iter 9; 3567.944082 ms
Iter 10; 3446.063744 ms
Iter 11; 3594.530095 ms
Iter 12; 3343.740639 ms
Iter 13; 3292.436006 ms
Iter 14; 3635.454911 ms
Iter 15; 3477.486047 ms
Iter 16; 3545.948517 ms
Iter 17; 3621.469551 ms
Iter 18; 3434.045829 ms
Iter 19; 3499.149518 ms
Iter 20; 3457.009154 ms
Iter 21; 3352.972688 ms
Iter 22; 3241.617097 ms
Iter 23; 3598.110539 ms
Iter 24; 3436.3462 ms
Iter 25; 3459.855499 ms
Iter 26; 3532.421839 ms
Iter 27; 3202.498719 ms
Iter 28; 3337.629689 ms
Iter 29; 3531.602603 ms
